2024-05-28T00:11:44.367+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:11:48.390+07:00  INFO 12948 --- [http-nio-8081-exec-2] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:10.899+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:11.285+07:00  INFO 12948 --- [http-nio-8081-exec-2] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:13.854+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:16.234+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:16.479+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:19.133+07:00  INFO 12948 --- [http-nio-8081-exec-6] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:42.551+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:43.286+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:45.385+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:48.026+07:00  INFO 12948 --- [http-nio-8081-exec-2] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:50.375+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:50.912+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:53.603+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:58.320+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:12:59.274+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:13:00.999+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:13:03.703+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:13:04.271+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:13:06.300+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:13:15.312+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:13:16.268+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:13:18.503+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:13:20.258+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:13:21.384+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:13:24.084+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:14:01.772+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:14:02.338+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:14:04.563+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:14:07.275+07:00  INFO 12948 --- [http-nio-8081-exec-6] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:15:12.050+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:15:12.490+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:15:15.434+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:15:18.130+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:15:47.449+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:15:48.296+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:15:50.329+07:00  INFO 12948 --- [http-nio-8081-exec-2] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:15:53.088+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:19:03.933+07:00  INFO 12948 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-28T00:19:03.933+07:00  INFO 12948 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2024-05-28T00:19:03.958+07:00  INFO 12948 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2024-05-28T21:29:55.850+07:00  INFO 8828 --- [main] c.e.b.BackendKhoaLuanApplication         : Starting BackendKhoaLuanApplication using Java 17.0.7 with PID 8828 (D:\front-end\khoaluan\backend-web-day-hoc\target\classes started by HP in D:\front-end\khoaluan\backend-web-day-hoc)
2024-05-28T21:29:55.852+07:00  INFO 8828 --- [main] c.e.b.BackendKhoaLuanApplication         : No active profile set, falling back to 1 default profile: "default"
2024-05-28T21:29:56.684+07:00  INFO 8828 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2024-05-28T21:29:56.685+07:00  INFO 8828 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-28T21:29:56.927+07:00  INFO 8828 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 235 ms. Found 16 JPA repository interfaces.
2024-05-28T21:29:56.946+07:00  INFO 8828 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2024-05-28T21:29:56.947+07:00  INFO 8828 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-05-28T21:29:56.959+07:00  INFO 8828 --- [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.backendkhoaluan.repository.AnswerRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-05-28T21:29:56.960+07:00  INFO 8828 --- [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.backendkhoaluan.repository.CategoriesRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-05-28T21:29:56.960+07:00  INFO 8828 --- [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.backendkhoaluan.repository.CodesRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-05-28T21:29:56.960+07:00  INFO 8828 --- [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.backendkhoaluan.repository.CourseDetailRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-05-28T21:29:56.961+07:00  INFO 8828 --- [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.backendkhoaluan.repository.CoursesRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-05-28T21:29:56.961+07:00  INFO 8828 --- [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.backendkhoaluan.repository.LessonsRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-05-28T21:29:56.961+07:00  INFO 8828 --- [main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.backendkhoaluan.repository.NewsRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
